12,9
15.9667,37
19.9333,102
23.9,177
27.8667,141
31.8333,84
35.8,117
39.7667,269
43.7333,795
47.7,4568
51.6667,3840
55.6333,631
59.6,170
63.5667,109
67.5333,138
71.5,115
75.4667,110
79.4333,124
83.4,119
87.3667,150
91.3333,113
95.3,102
99.2667,94
103.233,123
107.2,106
111.167,89
115.133,100
119.1,94
123.067,98
127.033,73
131,103
134.967,111
138.933,101
142.9,181
146.867,651
150.833,429
154.8,429
158.767,220
162.733,536
166.7,81
170.667,95
174.633,105
178.6,135
182.567,154
186.533,242
190.5,239
194.467,254
198.433,268
202.4,278
206.367,399
210.333,409
214.3,463
218.267,605
222.233,797
226.2,1055
230.167,8792
234.133,13374
238.1,72370
242.067,170263
246.033,21264
