17,40
20.9,100
24.8,204
28.7,123
32.6,75
36.5,103
40.4,232
44.3,1050
48.2,5286
52.1,2742
56,768
59.9,166
63.8,129
67.7,138
71.6,131
75.5,116
79.4,140
83.3,108
87.2,120
91.1,81
95,104
98.9,100
102.8,99
106.7,124
110.6,95
114.5,98
118.4,101
122.3,97
126.2,101
130.1,78
134,127
137.9,118
141.8,125
145.7,459
149.6,489
153.5,578
157.4,149
161.3,613
165.2,119
169.1,90
173,69
176.9,102
180.8,144
184.7,169
188.6,233
192.5,248
196.4,277
200.3,282
204.2,316
208.1,395
212,300
215.9,491
219.8,589
223.7,790
227.6,1054
231.5,8639
235.4,13467
239.3,72515
243.2,164076
247.1,27328
